,precision,recall,f1-score,support
0,0.999896102891964,0.9983787696019301,0.9991368601749699,414500.0
1,0.6478632478632479,0.9717948717948718,0.7774358974358975,390.0
2,0.9993363781863607,0.999882826231301,0.9996095275283092,25603.0
3,0.9851104707012488,0.9970831307729704,0.991060642667311,2057.0
4,0.9958793187908827,0.9997396511325176,0.9978057512414829,34569.0
5,0.9308797127468582,0.9913957934990439,0.9601851851851851,1046.0
6,0.9906890130353817,0.9879294336118849,0.9893072989307299,1077.0
7,0.9991568296795953,0.9991568296795953,0.9991568296795953,1186.0
8,1.0,1.0,1.0,2.0
9,1.0,0.8571428571428571,0.9230769230769231,7.0
10,0.9885489939473254,0.9994487016924858,0.9939689675969077,18139.0
11,0.9953416149068323,0.9953416149068323,0.9953416149068323,644.0
12,0.7384105960264901,0.7585034013605442,0.7483221476510067,294.0
13,0.5,0.25,0.3333333333333333,4.0
14,0.4180327868852459,0.3893129770992366,0.4031620553359684,131.0
accuracy,0.9982147467522201,0.9982147467522201,0.9982147467522201,0.9982147467522201
macro avg,0.8792763377107622,0.8796740572350715,0.8740602023162969,499649.0
weighted avg,0.9983595533538587,0.9982147467522201,0.998257269829043,499649.0
