,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,413828,206,17,24,133,70,4,1,0,0,208,3,4,0,2
1,11,379,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,25600,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,2051,5,1,0,0,0,0,0,0,0,0,0
4,3,0,0,4,34560,0,0,0,0,0,2,0,0,0,0
5,3,0,0,0,0,1037,6,0,0,0,0,0,0,0,0
6,5,0,0,2,0,6,1064,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,1185,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
9,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0
10,3,0,0,0,5,0,0,0,0,0,18129,0,1,0,1
11,3,0,0,0,0,0,0,0,0,0,0,641,0,0,0
12,2,0,0,0,0,0,0,0,0,0,0,0,223,1,68
13,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0
14,7,0,0,1,0,0,0,0,0,0,0,0,72,0,51
